Naslov	Autor(i)	Godina izdanja	Naklada	Mjesto	ISBN	ADIP-broj	Jezik	Stanje (1-5)		Stanje	
Wie schwer sind die Himmelskörper?	Güntzel-Linger, Ulrich	1955	Urania-Verlag	Leipzig	-	398	Njemački	2		1	Značajno oštečeno - otpao uvez, vlaga
Mars: Seine Rätsel und seine Geschichte	Henseling, Robert	1925	Kosmos, Gesellschaft der Naturfreunde	Stuttgart	-	397	Njemački	5		2	Oštečenje uveza
Das Wiener Planetarium	Thomas, Oswald	1927	Verlag der Wiener Messe	Wien	-	396	Njemački	4		3	Dobro stanje, "prenosiva" knjiga
Allgemeine Himmelsbeschreibung	Klein, Hermann	1901	Friedrich Vieweg & Sohn	Braunschweig	-	395	Njemački	3		4	Manja oštećenja, "zub vremena"
Aus fernen Welten	Wenée, Wilhelm	1910	Der Verfasser (Self-published)	Berlin	-	394	Njemački	3		5	Good as new
Dynamische Meteorologie	Exner, Felix	1917	B. G. Teubner	Leipzig	-	393	Njemački	4			
Didaktik der Himmelskunde und der astronomischen Geographie	Höfler, Alois von	1913	B. G. Teubner	Leipzig	-	392	Njemački	3			
Aus fernen Welten	Bürgel, Bruno H.	1939	Im Deutschen Verlag	Berlin	-	413	Njemački	4			
Das Polarlicht und die Probleme der höchsten Atmosphärenschichten	Harang, Leiv	1940	Akademische Verlagsgesellschaft Becker & Erler	Leipzig	-	412	Njemački	4			
Nautisches Jahrbuch: Ephemeriden und Tafeln	Deutsche Seewarte	1944	Broschek & Co.	Hamburg	-	411	Njemački	5			
Nautisches Jahrbuch: Ephemeriden und Tafeln	Schrader, C.	1909	Carl Heymanns Verlag	Berlin	-	410	Njemački	5			
Sternbüchlein	Henseling, Robert	1939	Franckh’sche Verlagshandlung	Stuttgart	-	409	Njemački	4			
Sternbüchlein	Henseling, Robert	1927	Franckh’sche Verlagshandlung	Stuttgart	-	408	Njemački	4			
Sternbüchlein	Henseling, Robert	1921	Franckh’sche Verlagshandlung	Stuttgart	-	407	Njemački	4			
Sternbüchlein	Henseling, Robert	1920	Franckh’sche Verlagshandlung	Stuttgart	-	406	Njemački	4			
Sternbüchlein	Henseling, Robert	1941	Franckh’sche Verlagshandlung	Stuttgart	-	405	Njemački	4			
Sternbüchlein	Henseling, Robert	1917	Franckh’sche Verlagshandlung	Stuttgart	-	404	Njemački	4			
Sternbüchlein	Henseling, Robert	1918	Franckh’sche Verlagshandlung	Stuttgart	-	403	Njemački	4			
Astronomische Abende	Kritzinger, Hans Hermann	1920	Eduard Heinrich Mayer	Leipzig	-	402	Njemački	4			
Abriss der Astronomie	Voigt, Hans Heinrich	1969	Bibliographisches Institut	Wien/Zürich	-	401	Njemački	4			
Die Milchstraße	Kahn, Fritz	1914	Kosmos, Gesellschaft der Naturfreunde	Stuttgart	-	400	Njemački	4			
Die Meteore	Hoffmeister, C.	1937	Akademische Verlagsgesellschaft	Leipzig	-	399	Njemački	4			
Planeten: Geschwister der Erde	Sandner, Werner	1971	Verlag Chemie	-	3-527-25350-5	422	Njemački	5			
Einführung in das Studium der veränderlichen Sterne	Schiller, Karl	1923	Johann Ambrosius Barth	Leipzig	-	421	Njemački	4			
Das Problem der Entwicklung unseres Planetensystems	Nölke, Friedrich	1919	Julius Springer	Berlin	-	420	Njemački	4			
Bis zum Ende des Weltalls	Lause, Fritz	1938	Franckh’sche Verlagshandlung	Stuttgart	-	419	Njemački	4			
Das Relativitätsprinzip	Laue, Max von	1913	Friedr. Vieweg & Sohn	Braunschweig	-	418	Njemački	3			
Die Sonne: Stern des Lebens	Doebel, Günter	-	Kosmos, Gesellschaft der Naturfreunde	Stuttgart	3-440-04216-2	417	Njemački	3			
Das Uhrwerk des Himmels	Stumpff, Karl	1943	Franckh’sche Verlagshandlung	Stuttgart	-	416	Njemački	3			
Astronomisches ABC für jedermann	Müller, Rolf	1938	Johann Ambrosius Barth	Leipzig	-	415	Njemački	4			
Das Fernrohr für jedermann	Rohr, Hans	-	Orell Füssli Verlag	Zürich	3-280-00020-3	414	Njemački	4			
Die Sonnenflecken	Epstein, T.	-	-	-	-	424	Njemački	3			
Handbuch für Freunde der Astronomie und kosmischen Physik	Plassmann, Joseph	1922	Mit vielen Abbildungen	Berlin	-	435	Njemački	4			
Das Polarlicht	Harang, Leiv	1940	Akademische Verlagsgesellschaft Becker & Erler	Leipzig	-	436	Njemački	4			
Grundriss der theoretischen Astronomie und der Geschichte der Planetentheorien	Frischauf, Johannes	1922	Wilhelm Engelmann	Leipzig	-	434	Njemački	3			
Aufbau und Entwicklung der Sterne	Vogt, Heinrich	1957	Akademische Verlagsgesellschaft Geest & Portig	Leipzig	-	432	Njemački	4			
Die Entstehung der Mondkrater	Wegener, Alfred	1921	Friedr. Vieweg & Sohn	Braunschweig	-	431	Njemački	4			
Leitfaden der astronomischen Beobachtung	Gramatzki, H. J.	1928	Ferdinand Dümmlers Verlag	Berlin	-	430	Njemački	4			
Hilfsbuch der astronomischen Fotografie	Gramatzki, H. J.	1930	Ferdinand Dümmlers Verlag	Berlin	-	429	Njemački	4			
Die Sonne	Krause, A.	1911	B. G. Teubner	Leipzig	-	428	Njemački	4			
